iter	R2	RMSE
0	0.2294483876	0.07563697673
1	0.3856859152	0.06753494197
2	0.4920600664	0.06141005319
3	0.5635166535	0.05692684747
4	0.6101769272	0.05379811574
5	0.6420191579	0.05155409735
6	0.6640131078	0.04994528112
7	0.678903054	0.04882602645
8	0.6898119492	0.04798945596
9	0.6989959897	0.04727368266
10	0.7054526498	0.04676391416
11	0.7098549883	0.0464131291
12	0.7133404776	0.04613350815
13	0.7163251711	0.04589270911
14	0.7195304628	0.04563269766
15	0.7222113926	0.04541407888
16	0.7249884296	0.04518650771
17	0.7270201307	0.04501928626
18	0.7285253458	0.04489499618
19	0.7301650741	0.04475920617
20	0.732059823	0.04460178241
21	0.7334158264	0.04448877792
22	0.7352692126	0.04433385743
23	0.7372446961	0.04416813284
24	0.7390140267	0.04401917289
25	0.7390140567	0.04401917036
26	0.740620869	0.04388345473
27	0.7414910185	0.0438097841
28	0.7423054716	0.04374071655
29	0.743640182	0.04362729354
30	0.7457624747	0.04344633243
31	0.7462996562	0.04340040903
32	0.7470039808	0.0433401229
33	0.7479826881	0.0432562117
34	0.7487285303	0.04319215616
35	0.7497328279	0.04310575318
36	0.7497328374	0.04310575235
37	0.7509432071	0.04300138962
38	0.75271697	0.04284798975
39	0.7538419563	0.04275041259
40	0.7548026011	0.04266691317
41	0.7560643198	0.04255699546
42	0.7578771238	0.04239856976
43	0.7592537791	0.04227786366
44	0.7608763717	0.04213514963
45	0.7619008524	0.04204479264
46	0.7634328609	0.04190930932
47	0.7652981957	0.04174375461
48	0.7668351493	0.04160684984
49	0.7679798898	0.04150458817
50	0.7695872221	0.04136057566
51	0.7718142172	0.04116021035
52	0.7736559359	0.04099376899
53	0.7751785214	0.0408556566
54	0.7768542275	0.04070311307
55	0.7788084709	0.04052448833
56	0.7799255973	0.04042202446
57	0.7818165818	0.04024798712
58	0.7828534502	0.04015223841
59	0.7847716858	0.03997449598
60	0.7862892304	0.03983331941
61	0.7877949983	0.03969274212
62	0.7891286061	0.03956782052
63	0.7904064414	0.0394477521
64	0.7920233437	0.03929529835
65	0.7935751055	0.03914842823
66	0.7950069748	0.03901241514
67	0.7960071551	0.03891712614
68	0.7973827422	0.03878568904
69	0.798793663	0.03865041149
70	0.7998797313	0.03854595707
71	0.8017277185	0.03836757022
72	0.802520446	0.03829079325
73	0.8041054588	0.03813681865
74	0.8051641096	0.0380336298
75	0.8066546986	0.03788786261
76	0.8075472622	0.03780030826
77	0.8088821744	0.03766898277
78	0.8107400447	0.03748544417
79	0.8117610871	0.03738419193
80	0.8137952337	0.03718165282
81	0.8152252949	0.03703859922
82	0.8160296979	0.03695788888
83	0.8169665704	0.03686366437
84	0.8183098688	0.03672814243
85	0.8189989201	0.03665843139
86	0.8196498152	0.03659245863
87	0.8210704503	0.03644805259
88	0.822472213	0.03630500194
89	0.8237576802	0.03617332205
90	0.8245846045	0.03608836014
91	0.8253936311	0.03600504309
92	0.8262180475	0.03591994233
93	0.8272829923	0.03580971357
94	0.8284543582	0.03568807633
95	0.8296000323	0.0355687046
96	0.8310485376	0.03541720394
97	0.8321247191	0.03530422406
98	0.833530233	0.03515612342
99	0.8348324672	0.03501834648
100	0.8360127464	0.03489300245
